Mrf#,Mfr.,Order Qty.,Unit Price(USD),Ext.Price(USD),LCSC#,Package,Description,Product Link
CL21A106KAYNNNE,Samsung Electro-Mechanics,20,0.0101,0.20,C15850,0805,10uF  0805 Ceramic Capacitors ,https://www.lcsc.com/product-detail/C15850.html
0603CG150J500NT,FH,100,0.0031,0.31,C91703,0603,15pF 0603 Ceramic Capacitors ,https://www.lcsc.com/product-detail/C91703.html
RP2040,Raspberry Pi,1,0.9440,0.94,C2040,LQFN-56(7x7),,https://www.lcsc.com/product-detail/C2040.html
HC-PZ254-13.8L-1x15PWA,Hong Cheng,5,0.0805,0.40,C41376120,"Through Hole,Right Angle,P=2.54mm","Right Angle,P=2.54mm Headers, Male Pins RoHS",https://www.lcsc.com/product-detail/C41376120.html
RC0402FR-0710KL,YAGEO,100,0.0006,0.06,C60490,0402, 10kΩ  0402 Resistor ,https://www.lcsc.com/product-detail/C60490.html
RC0402FR-071KL,YAGEO,100,0.0006,0.06,C106235,0402,1kΩ 0402 Resistor ,https://www.lcsc.com/product-detail/C106235.html
HY12MSMD3225OB1R30,Huiyuan crystal,10,0.0603,0.60,C5265859,SMD3225-4P,Crystal Oscillator 20pF SMD3225-4P ,https://www.lcsc.com/product-detail/C5265859.html
W25Q128JVSIQ,Winbond,1,1.6062,1.61,C97521,SOIC-8-208mil,128Mbit 2.7V~3.6V 133MHz SPI SOIC -8,https://www.lcsc.com/product-detail/C97521.html
0402WGF270JTCE,UNI-ROYAL,100,0.0006,0.06,C25100,0402,27Ω 0402 Resistor ,https://www.lcsc.com/product-detail/C25100.html
0402WGF5101TCE,UNI-ROYAL,100,0.0005,0.05,C25905,0402,5.1kΩ 0402 Resistor ,https://www.lcsc.com/product-detail/C25905.html
CC0402KRX7R7BB104,YAGEO,100,0.0009,0.09,C60474,0402,100nF 0402 Ceramic Capacitors ,https://www.lcsc.com/product-detail/C60474.html
SKRKAEE020,ALPSALPINE,5,0.1277,0.64,C115357,"SMD,3.9x2.9mm", Round Button 3.9mm SPST ,https://www.lcsc.com/product-detail/C115357.html
CL05A105KA5NQNC,Samsung Electro-Mechanics,100,0.0030,0.30,C52923,0402,25V 1uF X5R ±10% 0402 Ceramic Capacitors RoHS,https://www.lcsc.com/product-detail/C52923.html
MCP1700T-3302E/MB,MICROCHIP,1,0.5422,0.54,C632000,SOT-89-3, Fixed 3.3V SOT-89-3 Voltage Regulator,https://www.lcsc.com/product-detail/C632000.html
1054440011,MOLEX,1,1.1995,1.20,C561769,SMD,1 24P -30℃~+85℃ Type-C SMD USB,https://www.lcsc.com/product-detail/C561769.html
We also need to buy the PCB ($2) + shipping = $5.12,,,,,,,,
Also for shipping+ handling for LCSC the total becomes $18.59,,,,,,,,
"Finally, after adding tax you get",$25.28,,,,,,,
